time: 1000000000
152 19 899090 84508 0 12125 1634 2082 540 0 22
152 20 947494 45078 0 5608 627 752 426 0 16
153 1 915411 75789 31 8230 503 22 14 0 1
153 2 884930 99539 64 14163 1172 67 61 2 3
153 3 869136 109152 119 18895 2196 202 266 4 26 3 0 2
153 4 868482 111649 99 17795 1713 101 155 3 4
153 5 847632 125060 171 23545 2875 340 349 4 21 3 0 1
153 6 842334 128592 236 25086 2987 378 360 11 16 1
153 7 922653 69447 5 7367 497 8 24
153 8 824806 138186 212 30709 4574 590 784 25 85 19 0 5 5 1
153 9 886506 95822 116 15323 1783 214 221 4 11 1
154 1 909279 80158 28 9741 688 50 52 1 2 2
154 2 889784 95420 53 13345 1238 70 85 1 4 1
154 3 857385 118882 124 20874 2249 228 225 5 24 5
154 4 848161 125913 110 22696 2608 215 270 3 24 1
154 5 853140 120625 102 22650 2842 243 370 4 25
154 6 828421 136699 212 29284 4041 577 659 15 81 11 0 1
154 7 938256 56356 4 5078 277 13 15 1 1
154 8 846729 126831 214 23121 2520 303 266 5 11 0 1
154 9 871507 109967 102 16609 1563 113 136 2 2
155 1 892113 94613 35 12233 901 46 59 0 1
155 2 889520 95547 80 13464 1189 93 102 1 5
155 3 880624 102972 154 14801 1222 113 107 2 6
155 4 895380 91249 66 12221 939 86 59 0 1
155 5 865800 113674 97 18366 1755 142 153 6 8
155 6 854984 118970 139 22301 2793 366 397 3 41 6 0 1
155 7 929781 63003 16 6730 429 19 19 2 2
155 8 856470 120466 191 20375 2100 231 154 0 13 1
155 9 836345 132033 153 26754 3688 393 561 14 55 5
156 1 933649 60778 7 5320 225 15 7
156 2 884579 98523 97 15030 1456 149 144 2 21
156 3 865431 113274 79 18886 1959 132 201 8 20 8 2 1
156 4 896945 89929 69 11927 953 85 82 2 9
156 5 819540 139700 385 32562 5369 1012 1178 32 174 39 2 8
156 6 814346 142820 357 34464 5526 1016 1190 29 199 41 0 11 1 1
156 7 931790 61689 14 6150 324 13 21
156 8 871960 109421 123 16673 1538 149 130 1 6
156 9 855791 120432 89 20795 2423 183 266 7 13 1 0 1
